APMC,Commodity,combination_label,Year_Month,Year,modal_price,quarter,deseasonalise_price
Kurdwadi,Sorgum(Jawar),Kurdwadi:Sorgum(Jawar),2014-09-01,2014,1981.0,3,1958.7616149064468
Kurdwadi,Sorgum(Jawar),Kurdwadi:Sorgum(Jawar),2014-10-01,2014,1779.0,4,1777.6332683199128
Kurdwadi,Sorgum(Jawar),Kurdwadi:Sorgum(Jawar),2014-11-01,2014,1973.0,4,1971.484226191786
Kurdwadi,Sorgum(Jawar),Kurdwadi:Sorgum(Jawar),2014-12-01,2014,1861.0,4,1859.5702711317356
Kurdwadi,Sorgum(Jawar),Kurdwadi:Sorgum(Jawar),2015-01-01,2015,1840.0,1,1856.0498959382871
Kurdwadi,Sorgum(Jawar),Kurdwadi:Sorgum(Jawar),2015-02-01,2015,1660.0,1,1674.479797422585
Kurdwadi,Sorgum(Jawar),Kurdwadi:Sorgum(Jawar),2015-03-01,2015,1680.0,1,1694.6542528132188
Kurdwadi,Sorgum(Jawar),Kurdwadi:Sorgum(Jawar),2015-04-01,2015,1589.0,2,1594.0228325543865
Kurdwadi,Sorgum(Jawar),Kurdwadi:Sorgum(Jawar),2015-05-01,2015,1426.0,2,1430.5075891897766
Kurdwadi,Sorgum(Jawar),Kurdwadi:Sorgum(Jawar),2015-06-01,2015,1441.0,2,1445.5550042233297
Kurdwadi,Sorgum(Jawar),Kurdwadi:Sorgum(Jawar),2015-07-01,2015,1432.0,3,1415.924599972757
Kurdwadi,Sorgum(Jawar),Kurdwadi:Sorgum(Jawar),2015-08-01,2015,1756.0,3,1736.2874284582133
Kurdwadi,Sorgum(Jawar),Kurdwadi:Sorgum(Jawar),2015-09-01,2015,1721.0,3,1701.680332788488
Kurdwadi,Sorgum(Jawar),Kurdwadi:Sorgum(Jawar),2015-10-01,2015,1502.0,4,1500.8460758946087
Kurdwadi,Sorgum(Jawar),Kurdwadi:Sorgum(Jawar),2015-11-01,2015,2087.0,4,2085.396644735052
Kurdwadi,Sorgum(Jawar),Kurdwadi:Sorgum(Jawar),2015-12-01,2015,1905.0,4,1903.5364677624698
Kurdwadi,Sorgum(Jawar),Kurdwadi:Sorgum(Jawar),2016-01-01,2016,1751.0,1,1766.273569449968
Kurdwadi,Sorgum(Jawar),Kurdwadi:Sorgum(Jawar),2016-02-01,2016,1836.0,1,1852.0150048601604
Kurdwadi,Sorgum(Jawar),Kurdwadi:Sorgum(Jawar),2016-03-01,2016,1902.0,1,1918.5907076492513
Kurdwadi,Sorgum(Jawar),Kurdwadi:Sorgum(Jawar),2016-04-01,2016,1933.0,2,1939.1102173238696
Kurdwadi,Sorgum(Jawar),Kurdwadi:Sorgum(Jawar),2016-05-01,2016,1981.0,2,1987.2619454312394
Kurdwadi,Sorgum(Jawar),Kurdwadi:Sorgum(Jawar),2016-06-01,2016,2135.0,2,2141.7487397757172
Kurdwadi,Sorgum(Jawar),Kurdwadi:Sorgum(Jawar),2016-07-01,2016,2029.0,3,2006.2227746820697
Kurdwadi,Sorgum(Jawar),Kurdwadi:Sorgum(Jawar),2016-08-01,2016,1920.0,3,1898.4463910249256
Kurdwadi,Sorgum(Jawar),Kurdwadi:Sorgum(Jawar),2016-09-01,2016,2050.0,3,2026.987032083905
Kurdwadi,Sorgum(Jawar),Kurdwadi:Sorgum(Jawar),2016-10-01,2016,1998.0,4,1996.465019731976
Kurdwadi,Wheat(Husked),Kurdwadi:Wheat(Husked),2014-09-01,2014,1399.0,3,1390.9
Kurdwadi,Wheat(Husked),Kurdwadi:Wheat(Husked),2014-10-01,2014,1436.0,4,1424.142857142857
Kurdwadi,Wheat(Husked),Kurdwadi:Wheat(Husked),2014-11-01,2014,1525.0,4,1513.142857142857
Kurdwadi,Wheat(Husked),Kurdwadi:Wheat(Husked),2014-12-01,2014,1630.0,4,1618.142857142857
Kurdwadi,Wheat(Husked),Kurdwadi:Wheat(Husked),2015-01-01,2015,1592.0,1,1542.0
Kurdwadi,Wheat(Husked),Kurdwadi:Wheat(Husked),2015-02-01,2015,1662.0,1,1612.0
Kurdwadi,Wheat(Husked),Kurdwadi:Wheat(Husked),2015-03-01,2015,1745.0,1,1695.0
