Commodity,Seasonality Type
Kurdwadi:Sorgum(Jawar),Multiplicative
Kurdwadi:Wheat(Husked),Additive
Kurdwadi:Maize,Additive
Kurdwadi:Gram,Additive
Satara:Ladies Finger,Multiplicative
Satara:Potato,Multiplicative
Satara:Ginger (Fresh),Multiplicative
Satara:Bottle Gourd,Multiplicative
Satara:Flower,Multiplicative
Satara:Green Chilli,Additive
Satara:Brinjal,Multiplicative
Satara:Tomato,Multiplicative
Satara:Cluster Bean,Multiplicative
Satara:Capsicum,Additive
Satara:Cabbage,Multiplicative
Satara:Bitter Gourd,Multiplicative
Satara:Onion,Multiplicative
Satara:Cucumber,Additive
Satara:Pavtta,Multiplicative
Shahapur:Bitter Gourd,Multiplicative
Shahapur:Cucumber,Additive
Shahapur:Ghosali(Bhaji),Multiplicative
Shahapur:Chavli (Shenga ),Multiplicative
Shahapur:Ladies Finger,Multiplicative
Patan:Green Chilli,Multiplicative
Patan:Brinjal,Multiplicative
Patan:Tomato,Multiplicative
Patan:Cabbage,Additive
Patan:Flower,Additive
Patan:Ginger (Fresh),Multiplicative
Koregaon:Gram,Additive
Koregaon:Ghevda Seed,Multiplicative
Koregaon:Onion,Additive
Karad:Green Chilli,Additive
Karad:Brinjal,Multiplicative
Karad:Ridge Gourd,Additive
Karad:Shevga,Multiplicative
Karad:Capsicum,Additive
Karad:Garlic,Additive
Karad:Tomato,Additive
Karad:Cabbage,Additive
Karad:Bitter Gourd,Additive
Karad:Onion,Additive
Karad:Cucumber,Multiplicative
Karad:Cluster Bean,Additive
Karad:Flower,Additive
Karad:Bottle Gourd,Additive
Karad:Ladies Finger,Additive
Karad:Potato,Multiplicative
Karad:Ginger (Fresh),Multiplicative
Karad:Apple,Additive
Karad:Mosambi,Multiplicative
Karad:Banana,Additive
Karad:Pomegranate,Additive
Karad:Chikoo,Multiplicative
Karad:Pavtta,Additive
Lonand:Bajri,Multiplicative
Lonand:Wheat(Husked),Additive
Lonand:Sorgum(Jawar),Multiplicative
Lonand:Onion,Multiplicative
Lonand:Gram,Multiplicative
Lonand:Maize,Multiplicative
Vaduj:Maize,Multiplicative
Vaduj:Gram,Multiplicative
Vaduj:Sorgum(Jawar),Additive
Bhokar:Soybean,Multiplicative
Bhokar:Sesamum,Multiplicative
Bhokar:Turmeric,Multiplicative
Bhokar:Pigeon Pea (Tur),Multiplicative
Bhokar:Wheat(Husked),Multiplicative
Bhokar:Gram,Multiplicative
Savner:Soybean,Multiplicative
Savner:Pigeon Pea (Tur),Multiplicative
Savner:Gram,Additive
Savner:Wheat(Husked),Multiplicative
Umared:Wheat(Husked),Additive
Umared:Sorgum(Jawar),Multiplicative
Umared:Rice(Paddy-Hus),Multiplicative
Umared:Gram,Multiplicative
Umared:Linseed,Multiplicative
Umared:Soybean,Additive
Umared:Coriander (Dry),Multiplicative
Umared:Pigeon Pea (Tur),Multiplicative
Umared:Other Pulses,Multiplicative
Nanded:Pigeon Pea (Tur),Multiplicative
Nanded:Turmeric,Multiplicative
Nanded:Wheat(Husked),Multiplicative
Nanded:Sorgum(Jawar),Multiplicative
Vai:Flower,Additive
Vai:Bottle Gourd,Additive
Vai:Ladies Finger,Multiplicative
Vai:Ginger (Fresh),Additive
Vai:Pavata,Multiplicative
Vai:Cucumber,Additive
Vai:Cabbage,Multiplicative
Vai:Green Chilli,Multiplicative
Vai:Brinjal,Multiplicative
Vai:Tomato,Additive
Bhivandi:Other Vegetables,Additive
Bhivandi:Potato,Additive
Bhivandi:Rice(Paddy-Hus),Additive
Bhivandi:Wheat(Husked),Multiplicative
